tokens,label
,0
some,0
aspects,0
of,0
radiation,0
induced,0
nucleation,0
in,0
water,0
by,0
chih-ping,0
tso,0
b,0
,0
tech,0
,0
,0
loughborough,0
university,0
of,0
technology,0
,0
united,0
kingdom,0
,0
1968,0
,0
submitted,0
in,0
partial,0
fulfillment,0
of,0
the,0
requirements,0
for,0
the,0
degree,0
of,0
master,0
of,0
seience,1
at,0
the,0
massachusetts,0
institute,0
of,0
technology,0
august,0
1970,0
signature,0
of,0
author,0
ee,1
departiiént,1
of,0
nuclear,0
engineering,0
certified,0
by,0
,0
bagge,1
thesis,0
supervisor,0
,0
date,0
accepted,0
by,0
,0
chairman,0
,0
departmental,0
committee,0
arc,1
hives,1
on,0
graduate,0
students,0
mass,0
,0
inst,0
,0
7ee,1
,0
sep,0
21,0
1970,0
sjb,1
ra,1
ries,1
ppccedupes,1
as,0
a,0
peppesfntaticn,1
fop,1
mata,1
in,0
a,0
computer,0
ppcgpaim,1
fcr,1
undepstatipe,1
ic,1
matupal,1
language,0
hy,1
terry,0
iinograd,1
p.a,0
,0
the,0
colorado,0
college,0
,0
1966,0
,0
suppittter,1
¢,1
,0
n,0
paptial,1
fulfillment,0
cf,1
the,0
pequepemfnts,1
fcp,1
thf,1
pfopee,1
of,0
poctopr,1
nf,1
philoscphy,0
at,0
the,0
massachusetts,0
imnstitutf,1
of,0
tfchnology,1
august,0
,0
12790,1
signature,0
of,0
author,0
,0
,0
wun,1
soe,1
ee,1
ee,1
department,0
of,0
mat,1
feratic,1
tugust,1
2h,1
,0
1979,0
certified,0
by,0
,0
,0
woe,1
we,0
ee,1
ee,1
thests,1
supervisor,0
accepted,0
hy,1
,0
,0
e,0
,0
e,0
,0
a,0
78,1
e,0
«,1
°,1
e,0
,0
,0
‘,1
,0
',1
,0
a,0
,0
a,0
«,1
°,1
chairman,0
,0
denartmental,1
corrittee,1
on,0
craduate,1
students,0
mass,0
,0
inst,0
,0
fece,1
sep,0
29,0
1279,1
ven,1
saies,1
an,0
experimental,0
investigation,0
of,0
oil,0
spreading,0
over,0
water,0
by,0
walter,0
suchon,0
submitted,0
in,0
partial,0
fulfillment,0
of,0
the,0
requirements,0
for,0
the,0
degrees,0
of,0
bachelor,0
of,0
science,0
and,0
master,0
of,0
science,0
at,0
the,0
massachusetts,0
institute,0
of,0
technology,0
april,0
,0
1970,0
signature,0
of,0
author,0
cescscce,1
crn,1
cce,1
vases,1
eee,1
e,0
asm,1
ees,1
mee,1
earv,1
reser,1
eee,1
neers,1
ns,1
department,0
of,0
mechanical,0
engipeering,1
certified,0
by,0
,0
,0
,0
lt,1
you,1
eee,1
steer,1
teeta,1
ees,1
thesis,0
supervisor,0
,0
,0
accepted,0
dy,1
,0
cc,1
cecvese,1
sree,1
ene,1
ge,1
veume,1
ter,1
ceve,1
seman,1
rseeess,1
een,1
ene,1
ewe,1
sc,0
ereens,1
chairman,0
,0
departmental,0
committee,0
on,0
graduate,0
students,0
archives,0
digital,0
simulation,0
of,0
a,0
transportation,0
interface,0
by,0
